,Rk,Player,Pos,MP,Starts,Min,90s,Gls,Ast,NPG,PG,PA_x,YC,RC,Gls/90,Ast/90,G+A/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,SCA,SCA/90,SCPass,SCDeadPass,SCDrib,GCA,GCA/90,GCPass,GCDeadPass,GCDrib,PossTkl,TklDef3rd,TklMid3rd,TklAtt3rd,DriblTkl%,DriblledPast,%SuccPress,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,ShotBlocks,Interception,Clearances,GoalErrors,TCP,PA_y,TotDist,PrgDist,TSPC,SPA,TMPC,MPA,TLPC,LPA,KeyP,Pass18,Cross18,ProgPass,Live,Dead,FKPass,PressPass,Cross,LeftP,RightP,Touches,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,SuccDrib,AtmpDrib,Nutnegs,Carries,TotDistCarry,PrgDistCarry,CarryAtt3rd,Carry18Yd,CarryDIsp
528,467,Brandon Williams,DF,13,11,1057,11.7,0,0,0,0,0,4,0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.0,0.03,0.03,0.0,0.03,14,1.19,12,0,0,0,0.0,0,0,0,12,17,10,1,41.4,17,29.7,62,70,23,27,3,33,19,0,504,591,9207,2921,211,229,248,285,41,63,8,12,1,50,494,97,7,79,8,140,339,753,246,346,224,21,6,20,0,467,2509,1395,20,6,15
529,468,Neco Williams,DF,1,0,8,0.1,0,1,0,0,0,0,0,0.0,11.25,11.25,0.0,0.0,0.6,0.6,0.0,6.5,6.5,0.0,6.5,2,22.5,1,0,1,2,22.5,1,0,1,0,0,0,0,,0,0.0,1,0,0,0,0,0,0,0,8,8,153,32,1,1,5,5,1,1,1,0,0,0,7,1,0,2,1,0,7,8,2,2,4,1,2,2,0,8,34,22,0,1,0
530,469,Joe Willock,MF,16,13,1050,11.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.8,0.7,1.5,0.07,0.06,0.13,0.07,0.13,26,2.23,18,0,5,1,0.09,1,0,0,23,24,9,2,41.2,20,20.7,108,95,34,22,3,16,8,0,240,302,4261,1001,117,143,93,108,26,39,10,6,2,23,293,9,1,66,10,39,240,447,125,209,151,23,13,35,2,318,2038,1169,15,6,18
531,470,Callum Wilson,FW,15,14,1184,13.2,6,0,5,1,1,4,0,0.46,0.0,0.46,4.4,3.6,0.4,4.1,0.33,0.03,0.37,0.28,0.31,14,1.06,14,0,0,0,0.0,0,0,0,5,1,3,3,25.0,3,21.5,20,57,81,9,4,4,12,1,104,152,1537,289,51,72,36,49,6,11,8,3,1,6,135,17,1,55,5,14,95,315,35,138,164,55,14,23,0,184,648,355,7,11,26
532,471,Harry Winks,MF,7,4,365,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.19,0.19,0.0,0.19,10,2.47,9,0,0,2,0.49,2,0,0,5,2,6,0,37.5,5,26.8,27,39,5,9,3,15,3,0,228,266,4301,1450,99,105,94,104,30,48,4,7,0,33,257,9,8,44,4,28,228,312,73,183,81,3,2,4,0,224,1214,542,9,1,6
533,472,Yoane Wissa,FW,11,3,381,4.2,3,0,3,0,0,0,0,0.71,0.0,0.71,0.7,0.7,0.1,0.8,0.17,0.03,0.2,0.17,0.2,7,1.65,3,0,0,1,0.24,0,0,0,3,2,1,4,0.0,3,32.8,10,18,30,4,1,1,2,0,53,79,800,154,31,40,15,24,5,7,2,2,0,6,78,1,0,17,4,12,58,121,19,54,58,15,5,5,1,77,415,230,5,1,6
534,473,Chris Wood,FW,17,17,1367,15.2,3,0,3,0,0,1,0,0.2,0.0,0.2,4.4,4.4,0.2,4.7,0.29,0.02,0.31,0.29,0.31,20,1.32,16,0,1,2,0.13,2,0,0,8,2,5,4,50.0,4,30.5,8,81,108,15,6,4,6,0,184,308,2712,568,121,188,47,81,13,16,7,5,0,19,299,9,0,144,5,29,140,453,28,202,235,51,5,9,0,194,628,255,6,2,15
535,474,Freddie Woodman,GK,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,0.0,1,0,0,0,0,0,0,0,74,123,2481,1475,8,8,34,34,31,80,0,0,0,0,74,49,6,3,0,10,97,128,128,0,0,0,0,0,0,54,350,215,0,0,0
536,475,Granit Xhaka,MF,10,10,825,9.2,0,1,0,0,0,4,1,0.0,0.11,0.11,0.5,0.5,0.7,1.2,0.05,0.08,0.13,0.05,0.13,23,2.51,22,1,0,1,0.11,1,0,0,11,10,8,3,47.1,9,30.4,40,61,34,12,4,14,5,0,434,502,8022,2326,184,202,183,202,59,78,8,11,0,59,484,18,14,73,1,380,70,577,121,361,120,14,5,8,0,368,1716,888,6,2,6
537,476,Andriy Yarmolenko,"FW,MF",9,0,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.14,0.04,0.18,0.14,0.18,2,2.57,1,0,1,0,0.0,0,0,0,0,1,0,0,33.3,2,28.6,4,6,4,2,0,0,0,0,29,40,485,142,17,24,7,11,4,4,1,3,1,4,40,0,0,7,2,17,19,53,5,16,34,7,1,4,0,37,248,154,2,3,2
